wo_serial,wo_deal_name,wo_customer_code,wo_normalized_client,wo_sector,wo_owner,wo_po_date,matched_deal_row_id,matched_deal_name,matched_client_code,matched_deal_sector,matched_deal_owner,matched_deal_status,matched_deal_date,confidence_tier,match_score,match_notes
SDPLDEAL-075,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-10-29,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-101,Appa,WOCOMPANY_038,COMPANY038,Powerline,OWNER_002,2025-07-31,255.0,Appa,COMPANY005,Others,OWNER_003,Won,,MATCHED_FUZZY,70.0,"Fuzzy composite match (70 pts, margin 40): Exact Deal Name; Related Sector (others); Status: Won"
SDPLDEAL-002,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-05-16,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
SDPLDEAL-003,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-05-08,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
SDPLDEAL-004,SpongeBob,WOCOMPANY_032,COMPANY032,Powerline,OWNER_003,2025-05-06,211.0,SpongeBob,COMPANY153,Renewables,OWNER_003,Won,,MATCHED_FUZZY,55.0,"Fuzzy composite match (55 pts, margin 25): Exact Deal Name; Conflicting Sector; Matching Owner; Status: Won"
SDPLDEAL-005,Edward Elric,WOCOMPANY_008,COMPANY008,Renewables,OWNER_003,2025-05-16,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-001,Pumbaa,WOCOMPANY_047,COMPANY047,Renewables,OWNER_005,2025-05-15,,,,,,,,UNMATCHED,30.0,Below confidence threshold (best score 30): Exact Deal Name; Conflicting Sector; Status: Won
SDPLDEAL-006,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-05-21,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
SDPLDEAL-007,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-05-22,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
SDPLDEAL-008,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-009,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-010,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-011,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-012,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-013,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-014,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-015,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-016,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-017,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-018,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-019,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-020,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-021,Mojo Jojo,WOCOMPANY_036,COMPANY036,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,95.0,"Ambiguous multiple candidates (best score 95, runner-up 85, margin 10)"
SDPLDEAL-022,Mojo Jojo,WOCOMPANY_036,COMPANY036,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,95.0,"Ambiguous multiple candidates (best score 95, runner-up 85, margin 10)"
SDPLDEAL-024,Mojo Jojo,WOCOMPANY_036,COMPANY036,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,95.0,"Ambiguous multiple candidates (best score 95, runner-up 85, margin 10)"
SDPLDEAL-023,Mojo Jojo,WOCOMPANY_036,COMPANY036,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,95.0,"Ambiguous multiple candidates (best score 95, runner-up 85, margin 10)"
SDPLDEAL-025,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,120.0,"Ambiguous multiple candidates (best score 120, runner-up 115, margin 5)"
SDPLDEAL-026,Tanjiro,WOCOMPANY_005,COMPANY005,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,65.0,"Ambiguous multiple candidates (best score 65, runner-up 65, margin 0)"
SDPLDEAL-027,Tanjiro,WOCOMPANY_005,COMPANY005,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,65.0,"Ambiguous multiple candidates (best score 65, runner-up 65, margin 0)"
SDPLDEAL-028,Tanjiro,WOCOMPANY_005,COMPANY005,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,65.0,"Ambiguous multiple candidates (best score 65, runner-up 65, margin 0)"
SDPLDEAL-029,Tanjiro,WOCOMPANY_005,COMPANY005,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,65.0,"Ambiguous multiple candidates (best score 65, runner-up 65, margin 0)"
SDPLDEAL-030,Armin,WOCOMPANY_020,COMPANY020,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-031,Armin,WOCOMPANY_020,COMPANY020,Mining,OWNER_001,2025-04-10,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
